code	producer_product_id	producer_version_id	lc	product_name_ca	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_gl	product_name_it	product_name_la	product_name_nl	product_name_pt	product_name_sv	product_name_xx	abbreviated_product_name_fr	generic_name_ca	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_cs	origin_es	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_it	producer_nl	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_cs	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	omega-3-fat_value	omega-3-fat_unit	omega-6-fat_value	omega-6-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	fructose_value	fructose_unit	polyols_value	polyols_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	bicarbonate_value	bicarbonate_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	cocoa_value	cocoa_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	warning_fr	warning_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
8410095507001			es					Confitura natural de melocotón con de fruta y																	330 g				Helios	helios		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de melocotón	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:peach-jams			España	en:spain			0																		Melocotón, azúcar moreno de caña integral, zumo de limon, espesante: pectina de frutas si los melocotones no contienen suficiente. Elabora con 59 g de fruta por 100 g. Contenido total de azúcares 60 g por 100g.											100g	100g	1037	kJ	244	kcal	0.1	g	0.01	g	60	g	59	g	0.9	g	0.4	g	0	g	0	g			1037	kJ																															59	g																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	12	b	70	1	31037	-5	-15	1	0																App - yuka, Apps
8412170026285			es						Mermelada de mango sin gluten con fructosa																				Santiveri	santiveri		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams	Sin gluten	en:no-gluten	Francia, España	en:france,en:spain			0																													100g	100g			168	kcal	0	g	0	g	40	g	39.7	g			0.6	g	0.07	g	0.028	g			168	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	c	9	b	60	1	31024	-5	-15	1	0																App - yuka, Apps, app-elcoco, App - El CoCo
8422410802258			es					Melmelada d'albercoc																					Bonpreu	bonpreu		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams			España	en:spain			0																													100g	100g			196	kcal	0	g	0	g	48	g	47	g			0.5	g	0	g	0	g			196	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	d	11	b	60	1	31024	-5	-15	1	0																App - yuka, Apps, App - elcoco, App - El CoCo
8480010152791			es					Mermelada albaricoque																					Eroski	eroski		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Confituras de albaricoque	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:apricot-jams	Sin gluten	en:no-gluten	España	en:spain	Eroski	eroski	0																													100g	100g			199	kcal	0	g	0	g	50	g	38	g			0	g	0	g	0	g			199	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	c	9	b	70	1	31037	-5	-15	1	0																App - elcoco, Apps, App - yuka, App - El CoCo
8435173000434			es					Mermelada melocotón																	330 g				Veritas	veritas		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de melocotón	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:peach-jams	Ecológico, Ecológico UE, ES-ECO-025-NA	en:organic,en:eu-organic,en:es-eco-025-na	España	en:spain			0																		azúcar de caña* ,melocotón, agua, espesantes pectina de frutas y harina de garrofín, acidulante: ácido citrico.											100g	100g			179	kcal	0.04	g	0	g	44	g	44	g	0.6	g	0.28	g	0	g	0	g			179	kcal																															35	g																														en:sweets	en:sugary-snacks,en:sweets	3	en:3-processed-foods	d	11	b	79	1	31037	-5	-15	1	15																App - elcoco, Apps, App - yuka, App - El CoCo
8426959000038			es					Mermela de higo																	400 g				Sabores del Guijo	sabores-del-guijo		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de higos	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:figs-jams			España	en:spain			0																													100g	100g			239	kcal	0.05	g	0	g	59	g	42.7	g			0.5	g	0.01	g	0.004	g			239	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	c	10	b	60	1	31024	-5	-15	1	0																App - yuka, Apps
8410095038314			es					Purafruta de Melocotón																	250 gr				Helios	helios		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras multifruta	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:mixed-fruit-jams	Sin gluten	en:no-gluten	España	en:spain			0																		Melocotón, azúcares de fruta, gelificante: pectina de fruta y zumo											100g	100g			136	kcal	0	g	0	g	32	g	30	g			0.8	g	0	g	0	g			136	kcal																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	5	b	60	1	31024	-5	-15	1	0																App - yuka, Apps
8410175066411			es					Zero mermelada de fresa de temporada 100% fruta	Marmelada fresas de temporada																				Hero	hero		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de frutas del bosque, Mermeladas y confituras de fresa	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:strawberry-jams			España	en:spain			0																	strawberries, grape juice concentrate, concentrated apple, lemon juice from concentrate and gelling agent (pecticina of citrus fruit) and juice of elderberries from concentrate, total content of sugar 50 g per 100 g, made with 50 g strawberries per 100 g, contains naturally occurring sugars,	Fresas, mosto concentrado, concentrado de manzana, zumo de limón a partir de concentrado y gelificante (pecticina de cítricos) , zumo de sauco a partir de concentrado,	IOO%deFRIJTA INFORMACiéH HUTRICIONAI por 100g Valores medios cal Valot 02 Grasas de las cuales: saturadas 00q Slq Hidratos de carbono 50 de los cuales: azücares 05 Protetnas 0,0g										100g	serving			205	kcal	0.2	g	0	g	51	g	50	g			0.5	g	0	g	0	g			205	kcal																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	7	b	60	1	31024	-5	-15	1	0																App - El CoCo, App - InFood, App - Yuka, Apps
3045320097603			es					Confitura de melocotón																					Bonne Maman	bonne-maman		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de melocotón	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:peach-jams			España	en:spain			0																													100g	100g			241	kcal	0.1	g	0	g	59	g	59	g	1.3	g	0.4	g	0	g	0	g			241	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	d	11	b	70	1	31037	-5	-15	1	0																App - yuka, Apps
8413080365266			es					Mermelada de ciruela																					Gourmet	gourmet		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de ciruela	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:plum-jams	Sin gluten	en:no-gluten	España	en:spain			0																													100g	100g			34	kcal	0	g	0	g	7.1999998092651	g	5.6999998092651	g			0.5	g	0	g	0	g			34	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	b	0	b	70	1	31037	-5	-15	1	0																App - yuka, Apps
