code	producer_product_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_nl	product_name_pl	product_name_pt	generic_name_en	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_nl	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	vitamin-e_value	vitamin-e_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	manganese_value	manganese_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-dried_value	fruits-vegetables-nuts-dried_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_weight_measured	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_nl	warning_es	warning_fr	warning_nl	preparation_es	preparation_fr	preparation_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	data_sources
5038862232241		es			Super smoothie energia				Energía										Innocent	innocent	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			España	en:spain			0																	1 manzana licuada (50%), 13 uvas rojas y blancas licuadas, ½ plátano machacado, 3 fresas trituradas (10%), 14 grosellas negras trituradas, 2½ cerezas trituradas (3,3%), - un poco de zumo de remolacha, semillas de lino molidas (0,56%), un chorrito de infusión de guaraná (0,01%) y algunas vitaminas (B1, B2, B3, B6, C y E).									100g	100g	221	kJ	52	kcal	0.5	g	0.1	g	12	g	10	g	0.8	g	0.6	g	0.01	g	0.004	g			221	kJ	4.1	mg	17	mg	0.33	mg	0.38	mg	2.5	mg	0.41	mg																																												unknown	e	15	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
8410171010265		fr				Smoothie mango y maracuyá													El Frutero	el-frutero	"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Smoothies"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			Espagne	en:spain			0																										100g	100g			53	kcal	0	g	0	g	12	g	11.7	g			0.6	g	0	g	0	g			53	kcal																																																								unknown	e	16	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
8422174360520		de	Green machine												360 ml	360ml			Naked	naked	Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Getränke, Fruchtgetränke, Säfte und Nektare, Fruchsäfte, Smoothies, Fruchtsmoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:smoothies,en:fruit-smoothies			Spanien	en:spain			0															Apfelsaft (64%) , Ananassaft (11% ) , Bananenmark, Kiwimark(7%), Mangomark (7%), pflanzliche Extrakte (0,5% Spirulina (0,3% ), Spinat, Chlorella, Ingwerwurzel, Brokkoli erstengras, Weizengras, Petersilie, geruchloser Knoblauch davalgen (0,004%), natürliche Aromen											100g	100g			52	kcal	0.5	g	0.1	g	12	g	11	g			0.5	g	0.03	g	0.012	g			52	kcal																																																					en:fruit-juices	en:beverages,en:fruit-juices	4	en:4-ultra-processed-food-and-drink-products	d	6	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
24017022		es			Smoothie fresa & plátano										250 ml	250ml	Plástico	en:plastic	El Mercado de Aldi	el-mercado-de-aldi	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas no alcohólicas, Smoothies, Smoothies de fruta	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:non-alcoholic-beverages,en:smoothies,en:fruit-smoothies			España	en:spain	Aldi	aldi	0								Alemania	alemania								Zumo de manzana, puré de plátano (19,7 %), puré de mango (19,2 %), zumo de naranja (7,9 %), pulpa de naranja (7,8 %), zumo de maracuyá (7,2%)									100g	100g			54	kcal	0	g	0	g	12	g	12	g	0	g	0.5	g	0.01	g	0.004	g	0	% vol	54	kcal																													en:plastic																										1	en:1-unprocessed-or-minimally-processed-foods	d	6	c	44		2500	-5	-10	1	0	App - elcoco, App - yuka, Apps, App - El CoCo
20659554		fr				Relax valeriana									330 ml		Plastique	en:plastic	Solevita	solevita	"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Smoothies"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	Végétarien, Végétalien, Union Végétarienne Européenne, Union Végétarienne Européenne Végétalien	en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan	France, Espagne	en:france,en:spain	Lidl	lidl	0																										100g	100g			40	kcal	0.1	g	0.1	g	9.5	g	9.5	g			0.1	g	0	g	0	g			40	kcal																											1	en:bottle	en:plastic	en:recycle																										unknown	e	13	c	44		2500	-5	-10	1	0	App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts
8480000399793		es			Smoothie mango y coco				Smoothie Mango & Coco		Smoothiede frutas con zumo de zanahoria y leche de coco			Smoothie de frutas com sumo de cenoura e leite de coco	250ml	250ml	Plástico, PET, Green dot	en:plastic,en:pet-1-polyethylene-terephthalate,es:green-dot	Hacendado	hacendado	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies, Smoothies de fruta	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies,en:fruit-smoothies	Punto Verde	en:green-dot	España	en:spain	Mercadona	mercadona	0								The Netherlands	the-netherlands								Puré de manzana (31,6%), zumo de piña (26,3%), puré de mango (25,3%), zumo de zanahoria (10,5%), leche de coco (6,3%), antioxidante (ácido ascórbico).			Puré de maçã (31,6%), sumo de ananás (26,3%), puré de manga (25,3%), sumo de cenoura (10,5%), leite de coco (6,3%), antioxidante (ácido ascórbico).						100g	100g	270	kJ	64	kcal	1.3	g	0.9	g	12	g	11.1	g	1	g	0.5	g	0.03	g	0.012	g			270	kJ																													en:pet-1-polyethylene-terephthalate																										1	en:1-unprocessed-or-minimally-processed-foods	d	6	c	46		2500	-5	-8	0	0	App - elcoco, App - yuka, Apps, App - El CoCo, App - Open Food Facts
5038862346108		es			Smoothie mangue, fruits de la passion & pomme	Smoothie mangue et fruits de la passion									250 ml	250 ml	"Plástico, en:Bottle or vial, PET, Botella, en:Green dot, Pensez au tri!, fr:Bouteille plastique et son bouchon à recycler"	en:plastic,en:bottle-or-vial,en:pet-1-polyethylene-terephthalate,en:bottle,en:green-dot,es:pensez-au-tri,fr:bouteille-plastique-et-son-bouchon-a-recycler	Innocent	innocent	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Bebidas no azucaradas, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:unsweetened-beverages,en:smoothies	Punto Verde	en:green-dot	Francia, España	en:france,en:spain	Magasins U,Carrefour Market	magasins-u,carrefour-market	0																		1 pomme pressée,  1/4 de mangue mixée (17%), 1/2 banane mixée, 1/3 orange pressée, une tranche de fruit de la passion pressé (3%), un morceau de pêche pressée, jus de citron vert.								100g	100g	227	kJ	54	kcal	0	g	0	g	12	g	11	g	1.4	g	0.4	g	0	g	0	g			227	kJ			23	mg											168	mg									100	g	1	en:bottle	en:pet-1-polyethylene-terephthalate	en:recycle		17.17	1	en:wine-cork			2.17																			unknown	c	5	c	48		2500	-5	-6	0	0	App - yuka, Apps, app-elcoco, App - smoothie-openfoodfacts
4056489028642		de	Red smoothie												750 ml				Solevita	solevita	Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Getränke, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	Vegetarisch, Vegan, Europäische Vegetarier-Union, Europäische Vegetarier-Union Vegan	en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan	Frankreich, Spanien	en:france,en:spain	Lidl	lidl	0													FSC-C020428	fsc-c020428	Mehrfruchtsaft, rot. Fruchtgehalt: 100 %. Zutaten: 25 % Apfelsaft, 20% Traubensaft, 20 % Bananenmark, 15% Erdbeermark, 11 % Apfelmark, 5% Sauerkirschmark, 4 % schwarzer Johannisbeersaft, Antioxidationsmittel: Ascorbinsäure.											100g	100g			55	kcal	0.1	g	0.1	g	12.5	g	11.7	g			0.40000000596046	g	0.01	g	0.004	g			55	kcal																											1	en:bottle	en:fsc-cardboard	en:recycle			1	en:bottle-cap	en:plastic	en:recycle																			1	en:1-unprocessed-or-minimally-processed-foods	d	6	c	52		2500	-5	-2	0	0	App - yuka, Apps, App - El CoCo
54011649		es			Honest &quot;Pomegranate & blueberry&quot;										330 ml		fr:Bouteille en verre	fr:bouteille-en-verre	Honest	honest	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	Ecológico, Ecológico UE, Agricultura no UE, AT-BIO-901, Agricultura UE, Agricultura UE/no UE, Punto Verde, Triman	en:organic,en:eu-organic,en:non-eu-agriculture,en:at-bio-901,en:eu-agriculture,en:eu-non-eu-agriculture,en:green-dot,fr:triman	España	en:spain			0																										100g	100g			20	kcal	0	g	0	g	4.8000001907349	g	4.8000001907349	g			0	g	0	g	0	g			20	kcal																												en:bottle	en:glass																											unknown	d	7	b	67		2500	-5	-2	0	15	App - yuka, Apps, App - El CoCo
8436554526475		es			Cors de fruita														Ametller Origen	ametller-origen	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			España	en:spain			0																										100g	100g			68	kcal	2	g	1.3	g	12	g	10	g			0.3	g	0.01	g	0.004	g			68	kcal																																																								unknown	e	18	d	39	1	2500	-5	-15	1	0	App - elcoco, Apps, App - yuka, App - El CoCo
8402001005848		es			Batidos sabor plátano, arandanos y avena										4	160 g	Botella	en:bottle	Hacendado	hacendado	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	Bajo o sin grasas, Bajo en grasas, Sin azúcares añadidos	en:low-or-no-fat,en:low-fat,en:no-added-sugar	España	en:spain	Hacendado	hacendado	0																										100g	100g			32	kcal	0.3	g	0.2	g	4.7	g	4.3	g			2.5	g	0.14	g	0.056	g			32	kcal																	99	mg										en:bottle																												unknown	d	7	c	44		2500	-5	-10	0	0	App - Yuka, Apps
4260122391639		es			True fruits														True Fruits	true-fruits	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies			España	en:spain			0																										100g	100g			47	kcal	0	g	0	g	11	g	10	g	1.5	g	0.5	g	0.01	g	0.004	g			47	kcal																																																								unknown	e	13	d	39	1	2500	-5	-15	1	0	App - yuka, Apps
8410171037989		es			Smoothie piña, kiwi y lima										250 ml	250ml	en:Green dot	en:green-dot	Frutae	frutae	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies, Smoothies de fruta	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies,en:fruit-smoothies	Sin gluten, Vegetariano, Vegano, Punto Verde, Sin azúcares añadidos	en:no-gluten,en:vegetarian,en:vegan,en:green-dot,en:no-added-sugar	España	en:spain	Consum	consum	0																	Zumo de manzana, puré de manzana, zumo de kiwi 20%, zumo de piña 16%, zumo de uva, zumo de lima 1%, extracto de espirulina.									100g	100g	208	kJ	49	kcal	0.2	g	0	g	10.9	g	10.8	g	0.9	g	0.5	g	0	g	0	g			208	kJ																																																							1	en:1-unprocessed-or-minimally-processed-foods	c	5	d	39	1	2500	-5	-15	1	0	App - yuka, Apps, App - El CoCo, App - Open Food Facts
8410500023669		es			Activia Smoothie & Go de fresa, arándanos, granada, dátil, remolacha y semillas de chía										250 g				Danone	danone	Alimentos y bebidas de origen vegetal, Bebidas, Bebidas de origen vegetal, Smoothies	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:smoothies	Sin azúcares añadidos	en:no-added-sugar	España	en:spain			0																	leche parcialmente desnatada, purés de fresa (13,4%), arándanos (7,6%), dátil (5,7%) y remolacha (3%), leche desnatada en polvo rehidratada, zumo de granada (2,5%), semillas de chía (0,5%), fibra de cítricos, zumo concentrado de limón, aromas naturales, bifidobacterias y fermentos lácticos, origen de la leche: españa, puede contener cereales con gluten,				Leche	en:milk	Gluten	en:gluten		100g	100g			59	kcal	1.2	g	0.5	g	8.1	g	7.8	g	1.3	g	2.6	g	0.1	g	0.04	g			59	kcal																	88	mg																																					4	en:4-ultra-processed-food-and-drink-products	e	14	d	39	1	2500	-5	-15	1	0	App - elcoco, App - yuka, Apps, App - El CoCo
