code	producer_product_id	lc	product_name_ar	product_name_ca	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_it	product_name_nl	product_name_pt	product_name_ro	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_it	producer_nl	emb_codes	emb_codes_tags	ingredients_text_bg	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_ro	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	polyols_value	polyols_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_shape	packaging_1_material	packaging_2_shape	packaging_2_material	packaging_3_shape	packaging_3_material	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	warning_es	warning_fr	warning_it	warning_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	data_sources
2604007000353		es					Croissant																	Consum	consum	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain			0																										100g	100g			368	kcal	21.6	g	14.1	g	37.8	g	7.3	g	2.2	g	5.6	g	6.9	g	2.76	g	368	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	23	b	68	1	7602	-5	-15	1	0		App - Yuka, Apps
4056489410102		es					Croissant																	La Cestera	la-cestera	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants	De corral, Huevos de gallinas camperas	en:free-range,en:free-range-eggs	España	en:spain			0																										100g	100g			483.7	kcal	27.7	g	14	g	49	g	17.2	g	2.4	g	8.7	g	1	g	0.4	g	483.7	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	21	b	68	1	7602	-5	-15	1	0		App - yuka, Apps
20269661		de			Bio-Honig Akazie		Bio-Honig Akazie	Croissant												350g	29g	Kunststoff	en:plastic	Bio Sonne	bio-sonne	"Imbiss, Frühstücke, Brotaufstriche, Süßer Snack, Süße Brotaufstriche, Kekse und Kuchen, en:Sweet pastries and pies, Kuchen, Viennoiseries, Gebäck, Croissants"	en:snacks,en:breakfasts,en:spreads,en:sweet-snacks,en:sweet-spreads,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:pastries,en:croissants	"Bio, EU-Öko-Verordnung, Freiland, EG-Öko-Verordnung, Freilandhühnchen, Freilandeier"	en:organic,en:eu-organic,en:free-range,de:eg-öko-verordnung,en:free-range-chicken,en:free-range-eggs	Spanien	en:spain	Norma	norma	0													Honig gilt als Rohkost und ist für Kinder Herkunft: Mischung von Honig aus EU-Ländern		Harina de trigo, grasa de palma, azúcar, 4% huevos&quot;, dextrosa, suero lácteo, aceites vegetales (girasol, soja) en proporción rariable, levadura, sal, emulgentes: monoglicéridos y diglicéridos de ácidos grasos, ésteres monoacetil y diacetil tartáricos de monoglicéridos y diglicéridos de ácidos grasos; conservadores: propionato cálcico, sorbato potásico; proteínas de la leche, aromas, gluten de trigo, estabilizante: goma guar; colorante: carotenos. * Huevos de gallinas criadas en el suelo. Puede contener trazas de frutos de cáscara, granos de sésamo, soja y/o productos derivados. Envasado en España. Lidl Supermercados, S.A.U. Pol. Ind. El Saladar, C/ Pontevedra, 7 30564 - Lorquí (Murcia) Envasado por: B98189129 Peso neto: 350 ge 661										on	100g	100g																																en:plastic																								en:pastries	en:sugary-snacks,en:pastries		unknown	unknown		b	79		7602	-5	-10	1	15		App - elcoco, App - yuka, Apps, App - El CoCo, App - Open Food Facts
8433329121323		es					Croissant relleno de crema																	El Corte Inglés	el-corte-ingles	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			492	kcal	30	g	14	g	49	g	24	g			5.5	g	0.63	g	0.252	g	492	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	23	b	68	1	7602	-5	-15	1	0		App - yuka, Apps, App - El CoCo
8433329121316		es					Croissant clasico																	El Corte Inglés	el-corte-ingles	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			458	kcal	27	g	14	g	46	g	12	g			6.6	g	0.75	g	0.3	g	458	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	20	b	68	1	7602	-5	-15	1	0		App - yuka, Apps
8433329127837		es					Croissant con mantequilla																	El Corte Inglés	el-corte-ingles	Botanas, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			408	kcal	21	g	11	g	47	g	8.9	g			7.3	g	1.2	g	0.48	g	408	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	21	b	68	1	7602	-5	-15	1	0		App - yuka, Apps
8433329096607		es					Croissant con mantequilla																	El Corte Inglés	el-corte-ingles	Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Croissants, Croissants de mantequilla	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:croissants,en:butter-croissants			España	en:spain	El Corte Inglés	el-corte-ingles	0																										100g	100g			408	kcal	21	g	11	g	47	g	8.9	g			7.3	g	1.2	g	0.48	g	408	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	21	b	61	1	7620	-5	-15	1	0		App - yuka, Apps, App - El CoCo
8480017272782		es					Croissant													x13/390g				el molino de Dia	el-molino-de-dia	Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Croissants	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-pastries-and-pies,en:cakes,en:viennoiseries,en:croissants			España	en:spain	Dia	dia	0															Harina de trigo, grasa de palma, aceite de girasol, azúca dextrosa, jarabe de azúcar invertido, levadura, huevo líquido, sal, emulgentes (monoglicéridos y diglicéridos de ácidos grasos, ésteres monoacetil y diacetil tartáricos de monoglicéridos y diglicéridos de ácidos grasos), proteínas de la leche, conservador (propionato cálcico), aromas, estabilizante (goma guar), gluten de trigo, conservador (sorbato potásico), colorante (carotenos), espesante (goma xantana). Puede contener trazas de frutos de cáscara, granos de sésamo, soja y mostaza. Conservar lugar fresco y seco,						Gluten, Leche	en:gluten,en:milk	Mostaza, Frutos de cáscara, Granos de sésamo, Soja	en:mustard,en:nuts,en:sesame-seeds,en:soybeans		100g	100g			458	kcal	27	g	14	g	46	g	11.8	g			6.6	g	0.75	g	0.3	g	458	kcal																																		en:pastries	en:sugary-snacks,en:pastries	4	en:4-ultra-processed-food-and-drink-products	e	20	c	58	1	7602	-5	-15	1	0	-10	App - Yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts
8410087131894		es					Croissant rellenos de Cacao																	Dulcesol	dulcesol	Botanas, Desayunos, Snacks dulces, en:Sweet pastries and pies, Viennoiseries, Croissants, Croissant de chocolate	en:snacks,en:breakfasts,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants,en:chocolate-croissant	"De corral, Huevos de gallinas camperas, Envase 100 % Biodegradable"	en:free-range,en:free-range-eggs,es:envase-100-biodegradable	España	en:spain			0																										100g	100g																																																								en:pastries	en:sugary-snacks,en:pastries		unknown	unknown		c	44	1	7730	-5	-15	1	0		
8422410133642		ca		Croissants																350 g				Bonpreu	bonpreu	Snacks, Aperitius dolços, en:Sweet pastries and pies, Brioixeria, en:Croissants	en:snacks,en:sweet-snacks,en:sweet-pastries-and-pies,en:viennoiseries,en:croissants			Espanya	en:spain			0																										100g	100g			469	kcal	28	g	14	g	47	g	12	g			6.8	g	0.7	g	0.28	g	469	kcal																																		en:pastries	en:sugary-snacks,en:pastries		unknown	e	20	b	68	1	7602	-5	-15	1	0		App - yuka, Apps, App - El CoCo
